Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mylar-bags-for-storage,,,,,,,,,1g,,,5000,,,Matte Black w/ window,,MYLAR-G-5000BW,15875.73295,,continue,manual,300.00,600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-542230.jpg?v=1683119363,8,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,100,,,Matte Black,,MYLAR-E-100B,408.233133,,continue,manual,22.00,44.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-469582.webp?v=1683119363,9,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,100,,,Matte Black w/ window,,MYLAR-E-100BW,408.233133,,continue,manual,22.00,44.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-553357.jpg?v=1683119364,10,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,500,,,Matte Black,,MYLAR-E-500B,2041.165665,,continue,manual,90.00,180.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-104900.jpg?v=1683119364,11,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,500,,,Matte Black w/ window,,MYLAR-E-500BW,2041.165665,,continue,manual,90.00,180.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-427308.jpg?v=1683119364,12,Mylar Bags for Storage - Kraft & Kitchen,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,1000,,,Matte Black,,MYLAR-E-1000B,4309.127515,,continue,amazon-mcf,120.00,240.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,1000,,,Matte Black w/ window,,MYLAR-E-1000BW,4309.127515,,continue,amazon-mcf,120.00,240.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,5000,,,Matte Black,,MYLAR-E-5000B,20865.24902,,continue,manual,550.00,1100.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/8oz,,,5000,,,Matte Black w/ window,,MYLAR-E-5000BW,20865.24902,,continue,manual,550.00,1100.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,100,,,Matte Black,,MYLAR-Q-100B,635.029318,,continue,manual,25.00,50.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,100,,,Matte Black w/ window,,MYLAR-Q-100BW,635.029318,,continue,manual,25.00,50.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,500,,,Matte Black,,MYLAR-Q-500B,3175.14659,,continue,manual,97.50,195.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,500,,,Matte Black w/ window,,MYLAR-Q-500BW,3175.14659,,continue,manual,97.50,195.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,1000,,,Matte Black,,MYLAR-Q-1000B,6350.29318,,continue,amazon-mcf,130.00,260.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,1000,,,Matte Black w/ window,,MYLAR-Q-1000BW,6350.29318,,continue,amazon-mcf,130.00,260.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,5000,,,Matte Black,,MYLAR-Q-5000B,30617.484975,,continue,manual,600.00,1200.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/4oz,,,5000,,,Matte Black w/ window,,MYLAR-Q-5000BW,30617.484975,,continue,manual,600.00,1200.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,100,,,Matte Black,,MYLAR-H-100B,907.18474,,continue,manual,30.00,60.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,100,,,Matte Black w/ window,,MYLAR-H-100BW,907.18474,,continue,manual,30.00,60.00,true,true,,,,,"",,,,,,,,https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-469582.webp?v=1683119363,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,500,,,Matte Black,,MYLAR-H-500B,4762.719885,,continue,manual,100.00,200.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,500,,,Matte Black w/ window,,MYLAR-H-500BW,4762.719885,,continue,manual,100.00,200.00,true,true,,,,,"",,,,,,,,https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-469582.webp?v=1683119363,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,1000,,,Matte Black,,MYLAR-H-1000B,9525.43977,,continue,amazon-mcf,150.00,300.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,1000,,,Matte Black w/ window,,MYLAR-H-1000BW,9525.43977,,continue,amazon-mcf,150.00,300.00,true,true,,,,,"",,,,,,,,https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-469582.webp?v=1683119363,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,5000,,,Matte Black,,MYLAR-H-5000B,46266.42174,,continue,manual,725.00,1500.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1/2oz,,,5000,,,Matte Black w/ window,,MYLAR-H-5000BW,46266.42174,,continue,manual,725.00,1500.00,true,true,,,,,"",,,,,,,,https://cdn.shopify.com/s/files/1/0277/7245/2943/products/mylar-bags-for-storage-469582.webp?v=1683119363,lb,,,
mylar-bags-for-storage,,,,,,,,,Pre-roll,,,100,,,Matte Black w/ window,,MYLAR-PR-100,453.59237,,continue,manual,22.00,44.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,Pre-roll,,,500,,,Matte Black w/ window,,MYLAR-PR-500,2267.96185,,continue,manual,80.00,160.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,Pre-roll,,,1000,,,Matte Black w/ window,,MYLAR-PR-1000,4535.9237,,continue,manual,120.00,240.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,Pre-roll,,,5000,,,Matte Black w/ window,,MYLAR-PR-5000,22679.6185,,continue,manual,550.00,1100.00,true,true,,,,,"",,,,,,,,,lb,,,
mylar-bags-for-storage,,,,,,,,,1oz 1000 Matte Black w/ window,,,1000,,,Matte Black w/ window,,B0DJ1N955G,1360.77711,,deny,amazon-mcf,170.00,30.00,true,true,,,,,"",,,,,,,,,lb,,,
opaque-116mm-child-resistant-pre-roll-tube,116mm Opaque Child Resistant Tube | Secure & Eco-Friendly Cannabis Packaging,"<p>Looking for a sustainable, user-friendly way to store and protect your cannabis products? Our <strong>116mm Opaque Child Resistant Tube</strong> checks all the boxes. Perfect for eco-conscious consumers, these tubes feature a <strong>hinged lid</strong> that pops open with just a gentle squeeze—no twisting or pushing required.</p>

<p>Designed to keep your product fresh and compliant, each tube provides a secure seal that meets child-resistance standards. Say goodbye to misplaced caps—once opened, the lid stays attached, ensuring ease of use and preventing unwanted spills. Whether you're a dispensary owner looking to elevate your packaging game or a personal consumer seeking reliable storage, these tubes offer a powerful combination of <strong>safety</strong>, <strong>freshness</strong>, and <strong>environmental responsibility</strong>.</p>
<ul>
  <li>
<strong>Child-Resistant Compliance:</strong> Meets current regulations, ensuring safety and peace of mind.</li>
  <li>
<strong>Eco-Friendly Construction:</strong> Manufactured with sustainability in mind, reducing your carbon footprint.</li>
  <li>
<strong>Simple, Squeezable Design:</strong> A quick, hassle-free way to pop the lid without twisting or pushing.</li>
  <li>
<strong>Hinged Lids:</strong> Lids remain attached, preventing loss or contamination of your product.</li>
  <li>
<strong>Opaque Exterior:</strong> Helps preserve product freshness and maintain brand confidentiality.</li>
</ul>
<ul>
  <li>
<strong>Uncompromising Safety:</strong> Engineered to comply with strict child-resistant standards, keeping your products out of the wrong hands.</li>
  <li>
<strong>Streamlined Access:</strong> Users can open the tube with a gentle squeeze, making it convenient for adults while still preventing children from accessing the contents.</li>
  <li>
<strong>Eco-Conscious Materials:</strong> Align your brand with greener packaging solutions—help protect the planet without sacrificing quality.</li>
  <li>
<strong>Professional Brand Image:</strong> The opaque finish projects a sleek, modern look, allowing for easy labeling, custom branding, or regulatory messaging.</li>
</ul>
<ul>
  <li>
<strong>Length:</strong> 116mm (ideal for pre-rolls and similar products)</li>
  <li>
<strong>Material:</strong> High-quality, eco-friendly plastic (opaque finish)</li>
  <li>
<strong>Closure Type:</strong> Hinged, child-resistant lid</li>
  <li>
<strong>Color Options:</strong> Standard opaque colors (e.g., black, white, green)</li>
  <li>
<strong>Compliance:</strong> Meets ASTM and CFR standards for child-resistant packaging</li>
  <li>
<strong>Bulk Packaging:</strong> Sold in packs or cases (contact us for bulk order details)</li>
</ul>
<p><strong>Usage Tips:</strong></p>
<ul>
  <li>Gently squeeze both sides of the tube near the top to pop the hinged lid open.</li>
  <li>Ensure the lid is firmly closed after each use to maintain freshness and odor control.</li>
  <li>For dispensaries, consider adding custom labels or branding wraps for a professional touch.</li>
</ul>

<p><strong>Additional Info:</strong></p>
<ul>
  <li>Shipping options include standard, expedited, and bulk freight.</li>
  <li>For wholesale inquiries or special branding requests, reach out to our support team.</li>
</ul>
<p><strong>Ready to upgrade your dispensary or personal storage solutions?</strong> Order your 116mm Opaque Child Resistant Tube now and enjoy eco-friendly, compliant packaging that keeps your product fresh and secure!</p>

",Oil Slick,Uncategorized,"","1ml, Bulk, Child resistant, commercial processors, MCF, smokeshop, smoking, Storage and Packaging, wholesale",true,Quantity,10,,,,,,,,PREROLL,141.747615625,,deny,amazon-mcf,7.50,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/116mm-opaque-child-resistant-tube-184595.jpg?v=1667975839,1,116mm Opaque Child Resistant Tube - Kraft & Kitchen,false,,,,,oz,,,active
opaque-116mm-child-resistant-pre-roll-tube,,,,,,,,,100,,,,,,,,PREROLL-2,907.18474,,deny,amazon-mcf,30.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0277/7245/2943/products/116mm-opaque-child-resistant-tube-821776.jpg?v=1667975839,2,116mm Opaque Child Resistant Tube - Kraft & Kitchen,,,,,,lb,,,
opaque-116mm-child-resistant-pre-roll-tube,,,,,,,,,500,,,,,,,,PREROLL-3,4535.9237,,deny,manual,75.00,,true,true,,,,,"",,,,,,,,,lb,,,
opaque-116mm-child-resistant-pre-roll-tube,,,,,,,,,1000,,,,,,,,PREROLL-4,7711.07029,,deny,amazon-mcf,110.00,,true,true,,,,,"",,,,,,,,,lb,,,
opaque-116mm-child-resistant-pre-roll-tube,,,,,,,,,5000,,,,,,,,PREROLL-5,38555.35145,,deny,manual,475.00,,true,true,,,,,"",,,,,,,,,lb,,,
