item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3
Oil Slick Sheet Labratory Grade PTFE Roll Solvent Resistant Alternative to Parchment Paper, 48x16	*Only Items purchased through OILSLICK can be guaranteed for Authenticity" 4'x16" Roll of virgin PTFE sheet. Terp Proof packaging. Ideal for purging and direct contact with non-polar solvents. Pour off and purging is a perfect use for Slick Sheet PTFE. Rosin Directional flow tech etc..	1027O8ORTSQ	798304236033	27		2014-10-27 11:34:01 PDT		y	3			11				B00AWK04IQ						798304236033				AMAZON_NA	25.0	percent	2	3	12	4	48	12	144	15			Default Amazon Template							
Oil Slick SLICK PAPER Silicone Release Sheets 8.5"x14" Legal, 250 Precut Non-Stick Silicone Release Paper for Rosin, Diamond Painting, Sticker Backing & Crafts, Parchment Alternative	<p><strong>Release Everything—Waste Nothing.</strong></p> <p>SLICK PAPER is the next generation of <em>ultra-non-stick</em> release liner, engineered by Oil Slick for solventless extraction and precision crafts. Each legal-size sheet carries a pharmaceutical-grade silicone layer that shrugs off sticky concentrates, resin, wax, and adhesive vinyl.</p> <p><strong>Why It Beats Parchment:</strong></p> <ul> <li>Withstands higher press temps without fibers or scorch marks</li> <li>Zero quilon, bleach, or PFAS—just clean, pH-balanced paper</li> <li>40-lb base resists tearing when folded and scraped</li> </ul> <p><strong>Designed for Pros &amp; Makers:</strong></p> <ul> <li>Rosin pressing and water-bubble drying racks</li> <li>Sticker backing and HTV carrier sheets</li> <li>Diamond-painting cover paper and UV-resin casting mats</li> <li>Heat-press liner, vacuum-oven tray, and 3-D printer bed barrier</li> </ul> <p>Sheets arrive <strong>pre-cut</strong>, stacked, and <em>printer-friendly</em>, ready for logos, grids, or cut paths straight from most inkjet or laser printers.</p> <p><em>For non-food, artistic, and industrial applications only.</em></p>	0309ST0DKNK	7983047374025	25		2017-03-09 12:25:56 PST		y	1			11				B01M2A56DJ						B01M2A56DJ				AMAZON_NA	24.0	percent	12	4	48	12	144	15					Default Amazon Template							
80-Pack 5ml Round Bottom Low Profile Glass Jars with Child-Resistant Black Lids: Airtight Herb & Spice Storage Containers	<p>Upgrade your storage solutions with this exclusive 80-pack of 5ml Round Bottom Low Profile Glass Jars, complete with child-resistant black lids for that added peace of mind in homes with children. Not just a storage option but a means to preserve the quality of your herbs, spices, cosmetics, and essential oils, thanks to the airtight seal that locks in freshness and prevents leaks. These jars are made from high-quality, thick, clear glass that is UV resistant, ensuring that whatever you store remains in its best state by preventing light degradation. Designed for versatility, their sleek, low profile and round bottom make these containers perfect for various uses beyond the kitchen, including as stylish cosmetic or essential oil holders. Whether you’re looking to organize herbs and spices, craft supplies, or small personal care items, these glass jars provide both the quality and quantity to meet all your needs. With 80 jars at your disposal, you’ll enjoy a modern, efficient way to organize and display your small essentials across any space.</p>	0414YALAHXA	7A-7LSD-X5OB	65		2021-04-14 14:09:36 PDT		y	1			11				B092LQP4SF						B092LQP4SF				AMAZON_NA													Regional Prime (Ground)							
Oil Slick Clear - FEP precut Squares - 500 Pack - Ultra Nonstick Packaging and 3D Printing Substrate	500 Pre-cut sheets, 4 inches by 4 inches, FEP Clear packaging solution</br>Oil Slick CLEAR. </br>Another game changer in concentrate packaging.</br>Terpene proof, completely transparent, and<b> more nonstick</b> than traditional PTFE; these are guaranteed to make your extracts shine. </br>Compared to Virgin PTFE packaging FEP is</br><ul><li>More Nonstick</li><li>More Durable</li><li>Completely Transparent</li><li>Heat Sealable*</li></ul>Convenient 4"x 4" precuts come in <b>boxes of 500</b>	1005UDXCQZH	AT-KD89-28AE	149		2018-10-05 10:41:24 PDT		y	3			11				B07J2SHLFR						798304433944				AMAZON_NA	99.0	percent	60	18.18									Default Amazon Template							
Slick Paper Silicone Release Paper - Legal Size 8.5x14" Fits in Printer	<p><strong>Release Everything—Waste Nothing.</strong></p> <p>SLICK PAPER is the next generation of <em>ultra-non-stick</em> release liner, engineered by Oil Slick for solventless extraction and precision crafts. Each legal-size sheet carries a pharmaceutical-grade silicone layer that shrugs off sticky concentrates, resin, wax, and adhesive vinyl.</p> <p><strong>Why It Beats Parchment:</strong></p> <ul> <li>Withstands higher press temps without fibers or scorch marks</li> <li>Zero quilon, bleach, or PFAS—just clean, pH-balanced paper</li> <li>40-lb base resists tearing when folded and scraped</li> </ul> <p><strong>Designed for Pros &amp; Makers:</strong></p> <ul> <li>Rosin pressing and water-bubble drying racks</li> <li>Sticker backing and HTV carrier sheets</li> <li>Diamond-painting cover paper and UV-resin casting mats</li> <li>Heat-press liner, vacuum-oven tray, and 3-D printer bed barrier</li> </ul> <p>Sheets arrive <strong>pre-cut</strong>, stacked, and <em>printer-friendly</em>, ready for logos, grids, or cut paths straight from most inkjet or laser printers.</p> <p><em>For non-food, artistic, and industrial applications only.</em></p>	1121FDCDEEV	FBA190ZF0R4C.missing1	25		2025-11-21 15:45:35 PST		y	1			11				B08H5V59MB						B08H5V59MB				AMAZON_NA													Regional Prime (Ground + Air)							
(64 Pack) Child Resistant Pack 9ml Round Bottom Low Profile Glass Jars with Child-Resistant Black Lids: Airtight Herb & Spice Storage Containers	This short, low profile, airtight, jar is the perfect container for concentrates, butter, balm, scrubs, spice and more! <p>Upgrade your storage solutions with this exclusive 64-pack of 9ml Round Bottom Low Profile Glass Jars, complete with child-resistant black lids for that added peace of mind in homes with children. Not just a storage option but a means to preserve the quality of your herbs, spices, cosmetics, and essential oils, thanks to the airtight seal that locks in freshness and prevents leaks. These jars are made from high-quality, thick, clear glass that is UV resistant, ensuring that whatever you store remains in its best state by preventing light degradation. Designed for versatility, their sleek, low profile and round bottom make these containers perfect for various uses beyond the kitchen, including as stylish cosmetic or essential oil holders. Whether you’re looking to organize herbs and spices, craft supplies, or small personal care items, these glass jars provide both the quality and quantity to meet all your needs. With 64 jars at your disposal, you’ll enjoy a modern, efficient way to organize and display your small essentials across any space.</p>	0928YKSCV6L	GG-6NXM-CM2F	69		2021-09-28 13:55:38 PDT		y	1			11				B09HFFD27X						B09HFFD27X				AMAZON_NA													Default Amazon Template							
Oil Slick 90pcs Thick Bottom Low Profile 7ml Glass Jars with Black Lids : Air tight container (Black Lids)	7ml glass jar with lid. These 7 ml are the most popular non-cr jar. Gently sloped sides to pool into the flat center bottom for easy collection. No corners to loose any extract These are the heavy bottom jars you are looking for if you have: Saucy diamonds that need a happy home. This set of 90 thick, bottomed glass jars comes with a polished finish and black screw-top lids with foam liners for an airtight seal. The straight walls and wide mouths make them perfect for storing and displaying oils, creams, cosmetics, lip balms, waxes and more.	0611UI1ZX07	JM-6HD3-6FEP	43		2018-06-11 11:09:13 PDT		y	1			11				B07CZMZQ1T						B07CZMZQ1T				AMAZON_NA													Default Amazon Template							
116mm Child-Resistant Opaque Tubes with Hinged Lid – 120mm Capacity, Fits 109mm Cones, 1.3g Size – Ideal for Retail and Storage – 100 Pack	Our 116mm Child-Resistant Opaque Tubes are designed for secure storage and packaging of long or king-sized cones. Measuring 116mm in length, these tubes fit cones up to 109mm and have a 1.3g capacity, making them the perfect solution for retail packaging or personal storage. Each tube comes with a certified child-resistant hinged lid that meets industry standards for safety, providing a secure seal that keeps contents fresh and protected from handling during transportation or storage. The tight-fitting lid pops open with a squeeze of the sides, allowing for easy access while maintaining security. These tubes are made from durable, high-quality materials and are customizable to suit your brand's identity. Their opaque design ensures privacy, and the smooth surface is ideal for adding custom labels, perfect for retail display or bulk packaging. Available in a 100-pack, these tubes are widely used for retail packaging, storage, and transportation solutions. Whether for resale or personal use, these versatile containers are trusted by businesses across various industries for compliant and reliable packaging. Dimensions: Tube Size: 116mm Fits Cones up to 109mm Capacity: 1.3g Pack Quantity: 100	1109ZPA7CVZ	NL-FYUU-D96V	15		2022-11-08 17:38:56 PST		y	1			11				B0BLTNQPMY						B0BLTNQPMY				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 18oz Child Resistant Glass Jars with Black Caps – 28 Grams (1 Ounce) Capacity, Airtight and Durable, 24-Pack – Ideal for Food, Display, and Craft Storage	The 18oz Child-Resistant Glass Jars are a popular choice for retailers, crafters, and businesses looking for secure and stylish storage of up to 28 grams of herbs, food items, or other small goods. Constructed with thick side walls, these jars provide maximum durability and protection while beautifully showcasing products in a retail setting. The child-resistant push-down and turn cap ensures compliance with safety standards, making these jars ideal for packaging products that require extra care. The black cap features a flat surface, perfect for applying custom labels and branding. Additionally, the airtight seal helps to preserve freshness, ensuring that the contents stay in prime condition. With dimensions of H: 4.4 inches x D: 3.3 inches, these jars are versatile and can be used for a variety of applications, including food storage, craft supplies, and resale. Available in a convenient 24-pack, they are perfect for bulk storage or retail display. Package Dimensions: 21.26 x 14.37 x 5.51 inches (Carton Size) Package Weight: 19.40 lbs	0911BPWHDFP	O0-ZWM1-BQJ8	66		2024-09-11 10:53:57 PDT		y	1			11				B0DGRJLM8C						B0DGRJLM8C				AMAZON_NA													Regional Prime (Ground + Air)							
80pcs 7ml UV Resistant Glass Jar Set with Child-Resistant Black Lids - Round Bottom Cosmetic Jars for lip balm wax and creams	<p>The <strong>80pcs 7ml UV Resistant Glass Jar Set with Child-Resistant Black Lids</strong> is a standout choice for anyone in the beauty, wellness, or DIY sector. These jars are designed with a unique UV resistant glass to protect the integrity of your products from harmful sunlight, extending their shelf life and efficacy. Coupled with child-resistant black lids, they ensure your products are secure and tamper-proof, offering added safety and peace of mind. Each jar showcases a round-bottom design, enhancing both the look and usability of the container by allowing easy access to its contents. Ideal for businesses both large and small, or personal DIY projects, this set of 80 provides ample supply for a wide range of uses, from creams and balms to oils and waxes. Elevate your product line with these practical, stylish, and secure glass jars, ensuring a professional presentation and quality protection for your creations.</p>	1111ZURNRJQ	QA-DIRW-H53O	64		2022-11-10 16:41:44 PST		y	1			11				B0BM276DFR						B0BM276DFR				AMAZON_NA													Default Amazon Template							
80pcs 5ml UV Resistant Round Bottom Jar Set with Child-Resistant Black Lids - Ideal for Lip Balm, Wax, Creams, Cosmetics, Craft Storage	Introducing our premium 80pcs 5ml UV Resistant Round Bottom Jar Set with Child-Resistant Black Lids, a versatile collection meticulously designed for the protection and presentation of your products. These jars are made with special glass that blocks out harmful UV rays, ensuring the longevity and efficacy of sensitive products like lip balms, waxes, creams, and even craft materials. The inclusion of child-resistant black lids not only enhances the safety features but also adds a sophisticated touch to your product's presentation. The compact 5ml capacity is perfect for reducing waste and increasing the portability of your cosmetics or crafts. Whether you're a professional looking to elevate your product line or a DIY enthusiast seeking quality storage solutions, this set of 80 jars is crafted to meet your needs. Upgrade to professional-grade storage and packaging with our UV resistant glass jar set, and ensure your products are stored in style, safety, and with the utmost care.	1111ZUQYONP	RM-XP65-XSPT	64		2022-11-10 16:40:38 PST		y	1			11				B0BM2NHDV9						B0BM2NHDV9				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick Pad Platinum Cured non-stick Silicone Pad 12x8.5"	The Original Platinum Cured Non-Stick Baking Mat Oil Slick products are a must-have for all bakers. Oil Slick is the original platinum cured non-stick mat. Since 2007, Sliippy LLC. has been committed to improving the non-stick experience by introducing top quality products. Oil Slick products never need additional oil and replace parchment paper. Using Oil Slick products saves time, money and reduces waste in the environment. Made of fiberglass mesh and the highest quality medical grade silicone, which allows for heat distribution that is consistent. Promoting even baking and browning. The Slick Pad allows you to handle the stickiest materials with zero waste or mess. Production and collection are a breeze with the Slick Pad. Never scrape again, nothing sticks to the Oil Slick pad!	0208SVV5TLK	SGY-VC8-TCY	9.99		2017-02-08 13:15:12 PST		y	1			11				B0080S1JWW						B0080S1JWW				AMAZON_NA	8.99	percent	12	5.3	48	26.3	144	31.6					Default Amazon Template							
Oil Slick Duo Platinum Cured Medical Grade Silicone Pads, Set of 2, 3.25x4.5" Pads	-Recover 100% every time. Engineered specifically for concentrates, the Oil Slick allows you to handle the stickiest resin with ZERO waste or mess. Production and collection are a breeze with the Oil Slick Pad. Never scrape again, nothing sticks to the Oil Slick! It's the perfect surface for drying water extracts. -Sticky tools stay clean of debris, while slippery glass stays put. When used during personal consumption, Oil Slick protects your glass tools, and lets you reclaim oil lost during use. -An environmentally friendly alternative to parchment paper. The reinforced silicone surface is nonstick, heat resistant, solvent resistant, and completely reusable. The Oil Slick lasts for thousands of uses and always lays flat no matter how many times you roll it. Oil Slick is microwave and hot-plate safe. The unique material spreads heat evenly when used for purging and handles temperatures up to 500°F.	0901X3SPFLW	TN-VWQ7-FIEF	8		2020-09-01 14:32:41 PDT		y	3			11				B0080S21G0						798304216899				AMAZON_NA	10.0	percent	12	8.3	48	25	144	33.3					Default Amazon Template							
100 Pack 5ml Jar Screw Lid Black - Small Glass Cosmetic Packaging Container for Cream, Wax, and Balms	Airtight and leakproof: Screw lids provide an airtight seal to prevent leaks and preserve cosmetics, creams, and balms. Durable glass construction: Made from thick, high-quality glass to protect products from damage and contamination. Perfect for travel: With a 5ml capacity, these mini jars are ideal for carrying small amounts of cosmetics and lotions. Stylish black design: Elegant black lids add sophistication and protect sensitive products from light. Versatile use: Suitable for storing lip balms, waxes, oils, creams, and more, meeting personal and professional packaging needs.	0124FYQYZ2G	Uncommingled.MSKU.1682626962985	31		2025-01-23 18:31:09 PST		y	1			11				B08F9PB9GQ						B08F9PB9GQ				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 10 oz Child-Resistant Glass Jars with Black Caps – 14 Grams Capacity, Airtight and Durable, 36-Pack – Ideal for Food, Display, and Craft Storage	These 10oz Child-Resistant Glass Jars are designed for secure and stylish storage of edibles, flowers, and other small goods. Made with thick glass for durability, these jars ensure that your products are stored safely while providing a sleek and attractive display. The child-resistant push-down and turn cap meets industry safety standards, making these jars ideal for use in dispensaries and food packaging. Each jar features an airtight seal to preserve freshness, and the flat-top black cap is perfect for applying custom labels or branding. With a 14-gram capacity, these jars are versatile for various uses, from craft storage to food packaging. Available in a convenient pack of 36, they are the go-to choice for professional storage needs. Dimensions: Package size: 16.73 x 16.73 x 5.71 inches Weight: 19.18 lbs	0911BPW7B76	ZE-G116-4286	78		2024-09-11 10:45:31 PDT		y	1			11				B0DGRSW6MR						B0DGRSW6MR				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 1000 PCS Mylar Bags | Reusable Zipper Pouches Mylar Bags with Oxygen Absorbers | Versatile Use for Food Storage and Packaging (9”x2.5” Preroll Black w/window)	Oil Slick Brand Packaging Mylar Bags – The Ultimate Solution for Airtight, Odor-Proof, and Customizable Packaging Our Packaging offers a comprehensive range of premium Mylar bags, designed to meet a variety of packaging needs. Whether you're looking for secure storage for food, spices, small accessories, or even bulkier items like coffee beans or pet treats, our Mylar bags provide unmatched protection. Our bags are perfect for maintaining product freshness, protecting contents from moisture and UV light, and offering an ideal branding solution for businesses. From small pouches to large gusseted bags, GreenLeaf Packaging is your go-to solution for airtight and odor-proof packaging, with customization options to elevate your brand.	0926BTS0HWB	m_black/w_2.5_9	55		2024-09-26 10:21:41 PDT		y	3			11				B0DJ1NBBY9						798304542165				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 1000 PCS Mylar Bags - Reusable Zipper Mylar Bags With Oxygen Absorbers Use For Small Businesses, Jewelry, Candy And Food Storage(3”x4.5” Black w/window)	<p>Introducing Oil Slick premium mylar bags, designed to redefine your storage experience. Crafted with meticulous attention to detail, these mylar bags embody the perfect fusion of functionality and durability. Each bag is meticulously constructed from high-grade plastic, ensuring long-lasting performance and reliable protection for your stored items.</p><p>&nbsp;</p><p>Featuring a resilient reusable zipper closure, these bags are engineered for repeated use without compromising on reliability. Accessing your items is a breeze, thanks to the sturdy zipper that ensures secure storage while promoting sustainability by reducing single-use packaging.</p><p>&nbsp;</p><p>Designed for user convenience, these mylar bags 3”x4.5” are equipped with an easy tear capability, eliminating the hassle of additional tools when accessing your stored items. Opening the bag is quick and effortless while maintaining the bag's structural integrity.</p><p>&nbsp;</p><p>Trust in brand and its commitment to quality and convenience. Whether for storing culinary ingredients, personal items, or other essentials, these mylar bags are the reliable choice for preserving freshness and ensuring organized storage in a sleek, durable package.</p>	0928BY1TQX1	m_black/w_3	75		2024-09-28 02:45:01 PDT		y	3			11				B0CQH2GQRW						798304534009				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 1000 PCS Mylar Bags - Reusable Zipper Mylar Bags With Oxygen Absorbers Use For Small Businesses, Jewelry, Candy And Food Storage (3.6”x5” Black w/window)	<p>Introducing Oil Slick premium mylar bags, designed to redefine your storage experience. Crafted with meticulous attention to detail, these mylar bags embody the perfect fusion of functionality and durability. Each bag is meticulously constructed from high-grade plastic, ensuring long-lasting performance and reliable protection for your stored items.</p><p>&nbsp;</p><p>Featuring a resilient reusable zipper closure, these bags are engineered for repeated use without compromising on reliability. Accessing your items is a breeze, thanks to the sturdy zipper that ensures secure storage while promoting sustainability by reducing single-use packaging.</p><p>&nbsp;</p><p>Designed for user convenience, these mylar bags 3”x4.5” are equipped with an easy tear capability, eliminating the hassle of additional tools when accessing your stored items. Opening the bag is quick and effortless while maintaining the bag's structural integrity.</p><p>&nbsp;</p><p>Trust in brand and its commitment to quality and convenience. Whether for storing culinary ingredients, personal items, or other essentials, these mylar bags are the reliable choice for preserving freshness and ensuring organized storage in a sleek, durable package.</p>	0928BXNCUD6	m_black/w_3.6	75		2024-09-28 00:10:49 PDT		y	3			11				B0CQGZH9MH						798304533927				AMAZON_NA													Regional Prime (Ground + Air)							
Oil Slick 1000 PCS Mylar Bags - Reusable Zipper Mylar Bags With Oxygen Absorbers Use For Small Businesses, Jewelry, Candy And Food Storage(4”x6.5” Black w/window)	<p>Introducing Oil Slick premium mylar bags, designed to redefine your storage experience. Crafted with meticulous attention to detail, these mylar bags embody the perfect fusion of functionality and durability. Each bag is meticulously constructed from high-grade plastic, ensuring long-lasting performance and reliable protection for your stored items.</p><p>&nbsp;</p><p>Featuring a resilient reusable zipper closure, these bags are engineered for repeated use without compromising on reliability. Accessing your items is a breeze, thanks to the sturdy zipper that ensures secure storage while promoting sustainability by reducing single-use packaging.</p><p>&nbsp;</p><p>Designed for user convenience, these mylar bags 3”x4.5” are equipped with an easy tear capability, eliminating the hassle of additional tools when accessing your stored items. Opening the bag is quick and effortless while maintaining the bag's structural integrity.</p><p>&nbsp;</p><p>Trust in brand and its commitment to quality and convenience. Whether for storing culinary ingredients, personal items, or other essentials, these mylar bags are the reliable choice for preserving freshness and ensuring organized storage in a sleek, durable package.</p>	0928BXYLOT4	m_black/w_4	84		2024-09-28 01:49:09 PDT		y	3			11				B0CQH4KG67						798304533941				AMAZON_NA													Regional Prime (Ground + Air)							
